Property,Project Name,Type of Property,Transaction Type,City,Area Name,Location,Price,Covered Area,Carpet Area,Carpet Area Unit,Bathroom,Floor No,Ownership Type,Possession Status,furnished Type,isPrimeLocationProperty,Gymnasium,Swimming Pool,Security,Club House,Developer,Maintenance Charges,Maintenance Type,Parking Lot Count,Has Covered Parking,Price per sqm
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3150000,635,375,Sq-ft,2,5,Freehold,Under Construction,Unfurnished,1,1,1,1,1,,3,Per sq. Unit Monthly,1,1,4960.629921
2 BHK Flat,Tata Amantra,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",6300000,579,579,Sq-ft,2,20,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,TATA Housing Development Company Ltd.,3,Per sq. Unit Monthly,1,1,10880.82902
2 BHK Flat,Sai Satyam Homes,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",5400000,850,585,Sq-ft,2,18,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Sai Satyam Developers,1200,Monthly,1,0,6352.941176
2 BHK Flat,Birla Vanya,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",9000000,1050,815,Sq-ft,2,5,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Birla Estates,3200,Monthly,1,1,8571.428571
1 BHK Flat,Godrej Nirvaan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4950000,561,419,Sq-ft,2,8,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,Godrej Properties,,,0,0,8823.529412
2 BHK Flat,Tycoons Solitaire Sapphire,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",6570000,1067,667,Sq-ft,2,16,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Tycoons Group,2,Monthly,1,1,6157.450797
2 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5500000,725,550,Sq-ft,2,1,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,,2000,Monthly,0,0,7586.206897
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4200000,650,585,Sq-ft,1,4,Freehold,Ready to Move,Semi-Furnished,1,1,1,1,1,,1500,Monthly,0,0,6461.538462
1 BHK Flat,Godrej Riviera,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",3449000,592,370,Sq-ft,1,16,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Godrej Properties,3,Monthly,0,0,5826.013514
1 BHK Flat,,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",5000000,644,430,Sq-ft,1,5,,Ready to Move,Unfurnished,1,1,1,1,1,,,,0,0,7763.975155
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2990000,550,370,Sq-ft,2,10,Freehold,Under Construction,Furnished,1,1,1,1,1,,1200,Monthly,1,0,5436.363636
2 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4190000,850,570,Sq-ft,2,10,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,,1500,Monthly,1,1,4929.411765
1 BHK Flat,Rosalie,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4900000,595,,,1,9,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Tharwani Infrastructures,,,0,0,8235.294118
1 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",2187500,595,450,Sq-ft,1,2,Freehold,Ready to Move,Unfurnished,1,0,0,1,0,,1000,Monthly,1,1,3676.470588
1 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4700000,695,462,Sq-ft,1,16,Co-operative Society,Ready to Move,Unfurnished,1,1,1,1,1,Gurukrupa Group,3,Per sq. Unit Monthly,0,0,6762.589928
3 BHK Flat,,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",12000000,1350,927,Sq-ft,3,18,Power Of Attorney,Under Construction,Unfurnished,1,1,1,1,1,,2500,Monthly,1,0,8888.888889
2 BHK Flat,Guru Atman,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",7000000,960,650,Sq-ft,2,9,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Gurukrupa Group,2500,Monthly,1,0,7291.666667
2 BHK Flat,Riverview Classic,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7000000,1010,761,Sq-ft,2,9,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Rutu Group,0,Monthly,1,0,6930.693069
1 BHK Flat,Ajmera New Era,Apartment,Resale,Thane,Kalyan West,"Kalyan West, Thane",4800000,711,460,Sq-ft,2,4,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,4,Per sq. Unit Monthly,0,0,6751.054852
2 BHK Flat,Birla Vanya,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",9500000,1000,661,Sq-ft,2,20,Freehold,Under Construction,Semi-Furnished,1,1,1,1,1,Birla Estates,4500,Monthly,1,1,9500
2 BHK Flat,One Kalyan,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",7499000,709,709,Sq-ft,2,18,Freehold,Under Construction,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,0,Monthly,1,1,10576.86883
1 BHK Flat,Ajmera Bliss,Apartment,New Property,Thane,Kalyan West,"Kalyan West, Thane",4500000,675,450,Sq-ft,2,5,Freehold,Ready to Move,Unfurnished,1,1,1,1,1,Ajmera Realty & Infra India Ltd.,2200,Monthly,1,0,6666.666667
